Beaverlodge	Alberta	Canada	ca	105896969	-7:00	X
Berwyn	Alberta	Canada	ca	105899068	-7:00	X
Buffalo Lake	Alberta	Canada	ca	105910840	-7:00	X
Donnelly	Alberta	Canada	ca	105941611	-7:00	X
Eaglesham	Alberta	Canada	ca	105944893	-7:00	X
Fairview	Alberta	Canada	ca	105951036	-7:00	X
Falher	Alberta	Canada	ca	105951224	-7:00	X
Girouxville	Alberta	Canada	ca	105961502	-7:00	X
Grande Prairie	Alberta	Canada	ca	105964347	-7:00	X
Grimshaw	Alberta	Canada	ca	105967157	-7:00	X
High Level	Alberta	Canada	ca	105975004	-7:00	X
Hines Creek	Alberta	Canada	ca	105975472	-7:00	X
Hythe	Alberta	Canada	ca	105979136	-7:00	X
Manning	Alberta	Canada	ca	106065306	-7:00	X
Nampa	Alberta	Canada	ca	106085759	-7:00	X
Peace River	Alberta	Canada	ca	106100069	-7:00	X
Poplar Ridge	Alberta	Canada	ca	106111031	-7:00	X
Rainbow Lake	Alberta	Canada	ca	106116030	-7:00	X
Rycroft	Alberta	Canada	ca	106136875	-7:00	X
Sexsmith	Alberta	Canada	ca	106144602	-7:00	X
Spirit River	Alberta	Canada	ca	106153766	-7:00	X
Wembley	Alberta	Canada	ca	106178038	-7:00	X
Acme	Alberta	Canada	ca	105882100	-7:00	
Airdrie	Alberta	Canada	ca	105882799	-7:00	
Alberta Beach	Alberta	Canada	ca	105883105	-7:00	
Alix	Alberta	Canada	ca	105883712	-7:00	
Alliance	Alberta	Canada	ca	105883987	-7:00	
Amisk	Alberta	Canada	ca	105884528	-7:00	
Andrew	Alberta	Canada	ca	105885030	-7:00	
Arrowwood	Alberta	Canada	ca	105887328	-7:00	
Athabasca	Alberta	Canada	ca	105887916	-7:00	
Banff	Alberta	Canada	ca	105892532	-7:00	
Barnwell	Alberta	Canada	ca	105893315	-7:00
Barons	Alberta	Canada	ca	105893325	-7:00
Barrhead	Alberta	Canada	ca	105894164	-7:00
Bashaw	Alberta	Canada	ca	105894570	-7:00
Bassano	Alberta	Canada	ca	105894642	-7:00
Bawlf	Alberta	Canada	ca	105895224	-7:00
Beaumont	Alberta	Canada	ca	105896522	-7:00
Beiseker	Alberta	Canada	ca	105897594	-7:00
Bentley	Alberta	Canada	ca	105898596	-7:00
Big Valley	Alberta	Canada	ca	105901012	-7:00
Bittern Lake	Alberta	Canada	ca	105902088	-7:00
Black Diamond	Alberta	Canada	ca	105902458	-7:00
Blackfalds	Alberta	Canada	ca	105902599	-7:00
Blackie	Alberta	Canada	ca	105902755	-7:00
Bon Accord	Alberta	Canada	ca	105905348	-7:00
Bonnyville	Alberta	Canada	ca	105905616	-7:00
Botha	Alberta	Canada	ca	105906117	-7:00
Bowden	Alberta	Canada	ca	105906664	-7:00
Boyle	Alberta	Canada	ca	105907019	-7:00
Breton	Alberta	Canada	ca	105908499	-7:00
Brooks	Alberta	Canada	ca	105909514	-7:00
Bruderheim	Alberta	Canada	ca	105910168	-7:00
Calgary	Alberta	Canada	ca	105913490	-7:00
Calmar	Alberta	Canada	ca	105913601	-7:00
Camrose	Alberta	Canada	ca	105914653	-7:00
Canmore	Alberta	Canada	ca	105914894	-7:00
Carbon	Alberta	Canada	ca	105916711	-7:00
Cardston	Alberta	Canada	ca	105916821	-7:00
Carmangay	Alberta	Canada	ca	105917287	-7:00
Caroline	Alberta	Canada	ca	105917390	-7:00
Carstairs	Alberta	Canada	ca	105917688	-7:00
Castor	Alberta	Canada	ca	105918185	-7:00
Cayley	Alberta	Canada	ca	105918689	-7:00
Cereal	Alberta	Canada	ca	105919289	-7:00
Champion	Alberta	Canada	ca	105919666	-7:00
Chauvin	Alberta	Canada	ca	105920507	-7:00
Chestermere	Alberta	Canada	ca	105921060	-7:00
Chipewyan Lake	Alberta	Canada	ca	105921518	-7:00
Chipman	Alberta	Canada	ca	105921530	-7:00
Claresholm	Alberta	Canada	ca	105923125	-7:00
Clive	Alberta	Canada	ca	105924075	-7:00
Clyde	Alberta	Canada	ca	105924328	-7:00
Coaldale	Alberta	Canada	ca	105924417	-7:00
Coalhurst	Alberta	Canada	ca	105924428	-7:00
Cochrane	Alberta	Canada	ca	105924618	-7:00
Cold Lake	Alberta	Canada	ca	105925024	-7:00
Consort	Alberta	Canada	ca	105926958	-7:00
Coronation	Alberta	Canada	ca	105928107	-7:00
Cowley	Alberta	Canada	ca	105931201	-7:00
Cremona	Alberta	Canada	ca	105932187	-7:00
Crossfield	Alberta	Canada	ca	105933070	-7:00
Crowsnest Pass	Alberta	Canada	ca	105933497	-7:00
Czar	Alberta	Canada	ca	105934463	-7:00
Daysland	Alberta	Canada	ca	105935913	-7:00
Delburne	Alberta	Canada	ca	105937504	-7:00
Delia	Alberta	Canada	ca	105937525	-7:00
Derwent	Alberta	Canada	ca	105938119	-7:00
Devon	Alberta	Canada	ca	105938801	-7:00
Dewberry	Alberta	Canada	ca	105938853	-7:00
Didsbury	Alberta	Canada	ca	105939210	-7:00
Donalda	Alberta	Canada	ca	105941474	-7:00
Drayton Valley	Alberta	Canada	ca	105942547	-7:00
Drumheller	Alberta	Canada	ca	105942798	-7:00
Duchess	Alberta	Canada	ca	105943101	-7:00
Eckville	Alberta	Canada	ca	105946480	-7:00
Edberg	Alberta	Canada	ca	105946529	-7:00
Edgerton	Alberta	Canada	ca	105946660	-7:00
Edmonton	Alberta	Canada	ca	105946768	-7:00
Edson	Alberta	Canada	ca	105946820	-7:00
Elk Point	Alberta	Canada	ca	105947754	-7:00
Elnora	Alberta	Canada	ca	105948106	-7:00
Evansburg	Alberta	Canada	ca	105950447	-7:00
Ferintosh	Alberta	Canada	ca	105952315	-7:00
Forestburg	Alberta	Canada	ca	105955501	-7:00
Fort Macleod	Alberta	Canada	ca	105955891	-7:00
Fort McMurray	Alberta	Canada	ca	105955895	-7:00
Fort Saskatchewan	Alberta	Canada	ca	105955948	-7:00
Fox Creek	Alberta	Canada	ca	105956869	-7:00
Galahad	Alberta	Canada	ca	105959015	-7:00
Gibbons	Alberta	Canada	ca	105960842	-7:00
Gleichen	Alberta	Canada	ca	105961813	-7:00
Glendon	Alberta	Canada	ca	105961910	-7:00
Glenwood	Alberta	Canada	ca	105962132	-7:00
Grande Cache	Alberta	Canada	ca	105964304	-7:00
Granum	Alberta	Canada	ca	105965019	-7:00
Halkirk	Alberta	Canada	ca	105969452	-7:00
Hanna	Alberta	Canada	ca	105970234	-7:00
Hardisty	Alberta	Canada	ca	105970726	-7:00
Hay Lakes	Alberta	Canada	ca	105972680	-7:00
Heisler	Alberta	Canada	ca	105973455	-7:00
High Prairie	Alberta	Canada	ca	105975034	-7:00
High River	Alberta	Canada	ca	105975038	-7:00
Hinton	Alberta	Canada	ca	105975503	-7:00
Holden	Alberta	Canada	ca	105976022	-7:00
Hughenden	Alberta	Canada	ca	105978245	-7:00
Hussar	Alberta	Canada	ca	105978906	-7:00
Innisfail	Alberta	Canada	ca	105983430	-7:00
Innisfree	Alberta	Canada	ca	105983437	-7:00
Irma	Alberta	Canada	ca	105983858	-7:00
Irricana	Alberta	Canada	ca	105984019	-7:00
Jasper	Alberta	Canada	ca	106354954	-7:00
Jasper Park Lodge	Alberta	Canada	ca	105985934	-7:00
Joffre	Alberta	Canada	ca	105986982	-7:00
Killam	Alberta	Canada	ca	105991888	-7:00
Kinuso	Alberta	Canada	ca	105992692	-7:00
Kitscoty	Alberta	Canada	ca	105993109	-7:00
Lac La Biche	Alberta	Canada	ca	106028050	-7:00
Lacombe	Alberta	Canada	ca	106035615	-7:00
Lamont	Alberta	Canada	ca	106049046	-7:00
Leduc	Alberta	Canada	ca	106051562	-7:00
Legal	Alberta	Canada	ca	106051792	-7:00
Lethbridge	Alberta	Canada	ca	106053154	-7:00
Linden	Alberta	Canada	ca	106054313	-7:00
Lloydminster	Alberta	Canada	ca	106058025	-7:00
Lomond	Alberta	Canada	ca	106058545	-7:00
Longview	Alberta	Canada	ca	106059898	-7:00
Lougheed	Alberta	Canada	ca	106060745	-7:00
Magrath	Alberta	Canada	ca	106064202	-7:00
Mannville	Alberta	Canada	ca	106065347	-7:00
Marwayne	Alberta	Canada	ca	106067315	-7:00
Mayerthorpe	Alberta	Canada	ca	106068315	-7:00
McLennan	Alberta	Canada	ca	106070595	-7:00
Millet	Alberta	Canada	ca	106074099	-7:00
Milo	Alberta	Canada	ca	106074357	-7:00
Mirror	Alberta	Canada	ca	106075123	-7:00
Morinville	Alberta	Canada	ca	106078636	-7:00
Morrin	Alberta	Canada	ca	106078722	-7:00
Mundare	Alberta	Canada	ca	106084170	-7:00
Munson	Alberta	Canada	ca	106084332	-7:00
Myrnam	Alberta	Canada	ca	106085350	-7:00
Namao	Alberta	Canada	ca	106085706	-7:00
Nanton	Alberta	Canada	ca	106085892	-7:00
New Norway	Alberta	Canada	ca	106087716	-7:00
New Sarepta	Alberta	Canada	ca	106087763	-7:00
Nobleford	Alberta	Canada	ca	106088748	-7:00
Okotoks	Alberta	Canada	ca	106093010	-7:00
Olds	Alberta	Canada	ca	106093347	-7:00
Onoway	Alberta	Canada	ca	106093933	-7:00
Oyen	Alberta	Canada	ca	106095846	-7:00
Paradise Valley	Alberta	Canada	ca	106096782	-7:00
Peavine	Alberta	Canada	ca	106100319	-7:00
Penhold	Alberta	Canada	ca	106100954	-7:00
Picture Butte	Alberta	Canada	ca	106104231	-7:00
Pincher Creek	Alberta	Canada	ca	106104841	-7:00
Plamondon	Alberta	Canada	ca	106106147	-7:00
Ponoka	Alberta	Canada	ca	106109273	-7:00
Provost	Alberta	Canada	ca	106113828	-7:00
Raymond	Alberta	Canada	ca	106117675	-7:00
Red Deer	Alberta	Canada	ca	106118158	-7:00
Redwater	Alberta	Canada	ca	106118787	-7:00
Rimbey	Alberta	Canada	ca	106122374	-7:00
Rocky Mountain House	Alberta	Canada	ca	106126749	-7:00
Rockyford	Alberta	Canada	ca	106126621	-7:00
Rosalind	Alberta	Canada	ca	106127487	-7:00
Rosemary	Alberta	Canada	ca	106127676	-7:00
Ryley	Alberta	Canada	ca	106136934	-7:00
Sangudo	Alberta	Canada	ca	106140989	-7:00
Sedgewick	Alberta	Canada	ca	106143699	-7:00
Shaughnessy	Alberta	Canada	ca	106145420	-7:00
Sherwood Park	Alberta	Canada	ca	106146279	-7:00
Slave Lake	Alberta	Canada	ca	106149374	-7:00
Smoky Lake	Alberta	Canada	ca	106150293	-7:00
Spring Lake	Alberta	Canada	ca	106154251	-7:00
Spruce Grove	Alberta	Canada	ca	106154383	-7:00
Spruce View	Alberta	Canada	ca	106154529	-7:00
St. Albert	Alberta	Canada	ca	106155033	-7:00
St. Paul	Alberta	Canada	ca	106157795	-7:00
Standard	Alberta	Canada	ca	106155100	-7:00
Stavely	Alberta	Canada	ca	106155676	-7:00
Stettler	Alberta	Canada	ca	106156307	-7:00
Stirling	Alberta	Canada	ca	106156823	-7:00
Stony Plain	Alberta	Canada	ca	106157536	-7:00
Strathmore	Alberta	Canada	ca	106158023	-7:00
Strome	Alberta	Canada	ca	106158241	-7:00
Sundre	Alberta	Canada	ca	106159474	-7:00
Swan Hills	Alberta	Canada	ca	106160291	-7:00
Sylvan Lake	Alberta	Canada	ca	106160806	-7:00
Taber	Alberta	Canada	ca	106160919	-7:00
Thorhild	Alberta	Canada	ca	106165620	-7:00
Thorsby	Alberta	Canada	ca	106165741	-7:00
Three Hills	Alberta	Canada	ca	106165875	-7:00
Tilley	Alberta	Canada	ca	106166542	-7:00
Tofield	Alberta	Canada	ca	106167254	-7:00
Torrington	Alberta	Canada	ca	106167918	-7:00
Trochu	Alberta	Canada	ca	106169067	-7:00
Turner Valley	Alberta	Canada	ca	106170469	-7:00
Two Hills	Alberta	Canada	ca	106171332	-7:00
Valleyview	Alberta	Canada	ca	106173220	-7:00
Vauxhall	Alberta	Canada	ca	106173600	-7:00
Vegreville	Alberta	Canada	ca	106173635	-7:00
Vermilion	Alberta	Canada	ca	106173801	-7:00
Veteran	Alberta	Canada	ca	106173960	-7:00
Viking	Alberta	Canada	ca	106174254	-7:00
Vilna	Alberta	Canada	ca	106174357	-7:00
Vulcan	Alberta	Canada	ca	106174687	-7:00
Wabamun	Alberta	Canada	ca	106174721	-7:00
Wainwright	Alberta	Canada	ca	106175059	-7:00
Warburg	Alberta	Canada	ca	106176080	-7:00
Waskatenau	Alberta	Canada	ca	106176573	-7:00
Westlock	Alberta	Canada	ca	106179138	-7:00
Wetaskiwin	Alberta	Canada	ca	106179602	-7:00
Whitecourt	Alberta	Canada	ca	106180285	-7:00
Wildwood	Alberta	Canada	ca	106181934	-7:00
Willingdon	Alberta	Canada	ca	106182305	-7:00
Youngstown	Alberta	Canada	ca	106185768	-7:00
Bow Island	Alberta	Canada	ca	105906757	-7:00
Coutts	Alberta	Canada	ca	105930953	-7:00
Empress	Alberta	Canada	ca	105948716	-7:00
Foremost	Alberta	Canada	ca	105955491	-7:00	
Grassy Lake	Alberta	Canada	ca	105965321	-7:00	
Medicine Hat	Alberta	Canada	ca	106071618	-7:00	
Milk River	Alberta	Canada	ca	106073695	-7:00	
Redcliff	Alberta	Canada	ca	106118091	-7:00	
Warner	Alberta	Canada	ca	106176250	-7:00	
Chetwynd	British Columbia	Canada	ca	105921091	-7:00	X
Dawson Creek	British Columbia	Canada	ca	105935804	-7:00	X
Fort Nelson	British Columbia	Canada	ca	105955902	-7:00	X
Fort St. John	British Columbia	Canada	ca	105955960	-7:00	X
Granisle	British Columbia	Canada	ca	105964759	-7:00	X
Hazelton	British Columbia	Canada	ca	105972901	-7:00	X
Mackenzie	British Columbia	Canada	ca	106063191	-7:00	X
Pine Valley	British Columbia	Canada	ca	106105275	-7:00	X
Pouce Coupe	British Columbia	Canada	ca	106112409	-7:00	X
Smithers	British Columbia	Canada	ca	106149996	-7:00	X
Telkwa	British Columbia	Canada	ca	106162623	-7:00	X
Tumbler Ridge	British Columbia	Canada	ca	106170118	-7:00	X
Cranbrook	British Columbia	Canada	ca	105931800	-7:00	
Elkford	British Columbia	Canada	ca	105947708	-7:00	
Fernie	British Columbia	Canada	ca	105952370	-7:00	
Golden	British Columbia	Canada	ca	105962582	-7:00	
Invermere	British Columbia	Canada	ca	105983626	-7:00	
Kaslo	British Columbia	Canada	ca	105989566	-7:00	
Kimberley	British Columbia	Canada	ca	105992059	-7:00	
McBride	British Columbia	Canada	ca	106068627	-7:00	
Radium Hot Springs	British Columbia	Canada	ca	106115713	-7:00	
Valemount	British Columbia	Canada	ca	106173031	-7:00	
Abbotsford	British Columbia	Canada	ca	105881791	-8:00	
Alert Bay	British Columbia	Canada	ca	105883385	-8:00	
Anmore	British Columbia	Canada	ca	105885383	-8:00	
Armstrong	British Columbia	Canada	ca	105887048	-8:00	
Ashcroft	British Columbia	Canada	ca	105887531	-8:00
Belcarra	British Columbia	Canada	ca	105897652	-8:00
Burnaby	British Columbia	Canada	ca	105911606	-8:00
Burns Lake	British Columbia	Canada	ca	105911745	-8:00
Cache Creek	British Columbia	Canada	ca	105913049	-8:00
Campbell River	British Columbia	Canada	ca	105914132	-8:00
Castlegar	British Columbia	Canada	ca	105918118	-8:00
Chase	British Columbia	Canada	ca	105920381	-8:00
Chilliwack	British Columbia	Canada	ca	105921357	-8:00
Clinton	British Columbia	Canada	ca	105924041	-8:00
Colwood	British Columbia	Canada	ca	105926268	-8:00
Comox	British Columbia	Canada	ca	105926432	-8:00
Coquitlam	British Columbia	Canada	ca	105927689	-8:00
Courtenay	British Columbia	Canada	ca	105930890	-8:00
Creston	British Columbia	Canada	ca	105932311	-8:00
Cumberland	British Columbia	Canada	ca	105933885	-8:00
Deep Creek	British Columbia	Canada	ca	105936986	-8:00
Duncan	British Columbia	Canada	ca	105943865	-8:00
Dunsmuir	British Columbia	Canada	ca	105944266	-8:00
Enderby	British Columbia	Canada	ca	105948770	-8:00
Fraser Lake	British Columbia	Canada	ca	105957607	-8:00
Fruitvale	British Columbia	Canada	ca	105958590	-8:00
Gibsons	British Columbia	Canada	ca	105960971	-8:00
Gold River	British Columbia	Canada	ca	105962735	-8:00
Grand Forks	British Columbia	Canada	ca	105964401	-8:00
Greenwood	British Columbia	Canada	ca	105966694	-8:00
Harrison Hot Springs	British Columbia	Canada	ca	105971372	-8:00
Hemlock Valley	British Columbia	Canada	ca	105973733	-8:00
Hope	British Columbia	Canada	ca	105976783	-8:00
Houston	British Columbia	Canada	ca	105977783	-8:00
Kamloops	British Columbia	Canada	ca	105989045	-8:00
Kelly Lake	British Columbia	Canada	ca	105990498	-8:00
Kelowna	British Columbia	Canada	ca	105990579	-8:00
Keremeos	British Columbia	Canada	ca	105991216	-8:00
Kitimat	British Columbia	Canada	ca	105993072	-8:00
Ladysmith	British Columbia	Canada	ca	106047817	-8:00
Lake Cowichan	British Columbia	Canada	ca	106048316	-8:00
Langford	British Columbia	Canada	ca	106049388	-8:00
Langley	British Columbia	Canada	ca	106049429	-8:00
Lions Bay	British Columbia	Canada	ca	106054578	-8:00
Logan Lake	British Columbia	Canada	ca	106058415	-8:00
Lumby	British Columbia	Canada	ca	106061958	-8:00
Lytton	British Columbia	Canada	ca	106062479	-8:00
Merritt	British Columbia	Canada	ca	106072350	-8:00
Midway	British Columbia	Canada	ca	106073409	-8:00
Montrose	British Columbia	Canada	ca	106077295	-8:00
Mud Bay	British Columbia	Canada	ca	106083485	-8:00
Nakusp	British Columbia	Canada	ca	106085665	-8:00
Nanaimo	British Columbia	Canada	ca	106085772	-8:00
Nelson	British Columbia	Canada	ca	106086871	-8:00
New Denver	British Columbia	Canada	ca	106087524	-8:00
New Westminster	British Columbia	Canada	ca	106087844	-8:00
North Cowichan	British Columbia	Canada	ca	106089661	-8:00
North Vancouver	British Columbia	Canada	ca	106090785	-8:00
Oliver	British Columbia	Canada	ca	106093514	-8:00
Osoyoos	British Columbia	Canada	ca	106094665	-8:00
Parksville	British Columbia	Canada	ca	106098642	-8:00
Peachland	British Columbia	Canada	ca	106100086	-8:00
Pemberton	British Columbia	Canada	ca	106100799	-8:00
Penticton	British Columbia	Canada	ca	106101141	-8:00
Port Alberni	British Columbia	Canada	ca	106111632	-8:00
Port Alice	British Columbia	Canada	ca	106111640	-8:00
Port Coquitlam	British Columbia	Canada	ca	106111706	-8:00
Port Hardy	British Columbia	Canada	ca	106111862	-8:00
Port McNeill	British Columbia	Canada	ca	106111953	-8:00
Port Moody	British Columbia	Canada	ca	106111962	-8:00
Powell River	British Columbia	Canada	ca	106112608	-8:00
Prince George	British Columbia	Canada	ca	106113365	-8:00
Princeton	British Columbia	Canada	ca	106113463	-8:00
Qualicum Beach	British Columbia	Canada	ca	106114862	-8:00
Quesnel	British Columbia	Canada	ca	106115187	-8:00
Read Island	British Columbia	Canada	ca	106117787	-8:00
Revelstoke	British Columbia	Canada	ca	106121621	-8:00
Richmond	British Columbia	Canada	ca	106122085	-8:00
Rossland	British Columbia	Canada	ca	106127950	-8:00
Salmo	British Columbia	Canada	ca	106139413	-8:00
Sayward	British Columbia	Canada	ca	106141822	-8:00
Sechelt	British Columbia	Canada	ca	106143367	-8:00
Shuswap Falls	British Columbia	Canada	ca	106147262	-8:00
Sicamous	British Columbia	Canada	ca	106147353	-8:00
Sidney	British Columbia	Canada	ca	106147439	-8:00
Silver Creek	British Columbia	Canada	ca	106147717	-8:00
Silverton	British Columbia	Canada	ca	106147932	-8:00
Slocan	British Columbia	Canada	ca	106149600	-8:00
Sooke	British Columbia	Canada	ca	106151264	-8:00
Squamish	British Columbia	Canada	ca	106154636	-8:00
Stillwater	British Columbia	Canada	ca	106156740	-8:00
Summerland	British Columbia	Canada	ca	106159232	-8:00
Surrey	British Columbia	Canada	ca	106159905	-8:00
Tahsis	British Columbia	Canada	ca	106161139	-8:00
Trail	British Columbia	Canada	ca	106168326	-8:00
Ucluelet	British Columbia	Canada	ca	106171633	-8:00
Vancouver	British Columbia	Canada	ca	106173331	-8:00
Vanderhoof	British Columbia	Canada	ca	106173361	-8:00
Vernon	British Columbia	Canada	ca	106173864	-8:00
Victoria	British Columbia	Canada	ca	106174041	-8:00
View Royal	British Columbia	Canada	ca	106174232	-8:00
Warfield	British Columbia	Canada	ca	106176205	-8:00
Whistler	British Columbia	Canada	ca	106180144	-8:00
White Rock	British Columbia	Canada	ca	106180961	-8:00
Williams Lake	British Columbia	Canada	ca	106182212	-8:00
Zeballos	British Columbia	Canada	ca	106185911	-8:00
Masset	British Columbia	Canada	ca	106067676	-8:00
Port Clements	British Columbia	Canada	ca	106111701	-8:00
Prince Rupert	British Columbia	Canada	ca	106113406	-8:00
Terrace	British Columbia	Canada	ca	106162949	-8:00
Churchill	Manitoba	Canada	ca	105922111	
Gillam	Manitoba	Canada	ca	105961152	
Leaf Rapids	Manitoba	Canada	ca	106051094	
Lynn Lake	Manitoba	Canada	ca	106062335	
Benito	Manitoba	Canada	ca	105898322	-6:00
Binscarth	Manitoba	Canada	ca	105901331	-6:00
Birtle	Manitoba	Canada	ca	105901898	-6:00
Bowsman	Manitoba	Canada	ca	105906863	-6:00
Dauphin	Manitoba	Canada	ca	105935341	-6:00
Elkhorn	Manitoba	Canada	ca	105947712	-6:00
Ethelbert	Manitoba	Canada	ca	105950218	-6:00
Flin Flon	Manitoba	Canada	ca	105954718	-6:00
Gilbert Plains	Manitoba	Canada	ca	105961068	-6:00
Grand Rapids	Manitoba	Canada	ca	105964664	-6:00
Grandview	Manitoba	Canada	ca	105964716	-6:00
Hamiota	Manitoba	Canada	ca	105969883	-6:00
Hartney	Manitoba	Canada	ca	105971631	-6:00
Melita	Manitoba	Canada	ca	106071900	-6:00
Minitonas	Manitoba	Canada	ca	106074725	-6:00
Oak Lake	Manitoba	Canada	ca	106092022	-6:00
Roblin	Manitoba	Canada	ca	106125862	-6:00
Rossburn	Manitoba	Canada	ca	106127819	-6:00
Russell	Manitoba	Canada	ca	106136576	-6:00
Shoal Lake	Manitoba	Canada	ca	106146804	-6:00
Snow Lake	Manitoba	Canada	ca	106150786	-6:00
St-Lazare	Manitoba	Canada	ca	106156987	-6:00
Swan River	Manitoba	Canada	ca	106160362	-6:00
The Pas	Manitoba	Canada	ca	106164499	-6:00
Virden	Manitoba	Canada	ca	106174457	-6:00
Waskada	Manitoba	Canada	ca	106176561	-6:00
Winnipegosis	Manitoba	Canada	ca	106183238	-6:00
Altona	Manitoba	Canada	ca	105884260	-6:00
Arborg	Manitoba	Canada	ca	105886561	-6:00
Beausejour	Manitoba	Canada	ca	105896549	-6:00
Boissevain	Manitoba	Canada	ca	105905191	-6:00
Brandon	Manitoba	Canada	ca	105907896	-6:00
Carberry	Manitoba	Canada	ca	105916706	-6:00
Carman	Manitoba	Canada	ca	105917275	-6:00
Cartwright	Manitoba	Canada	ca	105917796	-6:00
Cross Lake	Manitoba	Canada	ca	105933126	-6:00
Crystal City	Manitoba	Canada	ca	105933629	-6:00
Deloraine	Manitoba	Canada	ca	105937577	-6:00
Dunnottar	Manitoba	Canada	ca	105944190	-6:00
Emerson	Manitoba	Canada	ca	105948571	-6:00
Erickson	Manitoba	Canada	ca	105949179	-6:00
Gimli	Manitoba	Canada	ca	105961417	-6:00
Gladstone	Manitoba	Canada	ca	105961655	-6:00
Glenboro	Manitoba	Canada	ca	105961838	-6:00
Gretna	Manitoba	Canada	ca	105966874	-6:00
Killarney	Manitoba	Canada	ca	105991907	-6:00
Lac du Bonnet	Manitoba	Canada	ca	106014443	-6:00
MacGregor	Manitoba	Canada	ca	106062964	-6:00
Manitou	Manitoba	Canada	ca	106065191	-6:00
McCreary	Manitoba	Canada	ca	106069090	-6:00
Minnedosa	Manitoba	Canada	ca	106074882	-6:00
Moose Lake	Manitoba	Canada	ca	106078177	-6:00
Morden	Manitoba	Canada	ca	106078447	-6:00
Morris	Manitoba	Canada	ca	106078727	-6:00
Neepawa	Manitoba	Canada	ca	106086673	-6:00
Niverville	Manitoba	Canada	ca	106088677	-6:00
Notre Dame de Lourdes	Manitoba	Canada	ca	106091374	-6:00
Pilot Mound	Manitoba	Canada	ca	106104764	-6:00
Plum Coulee	Manitoba	Canada	ca	106106449	-6:00
Portage la Prairie	Manitoba	Canada	ca	106111529	-6:00
Rapid City	Manitoba	Canada	ca	106116615	-6:00
Rivers	Manitoba	Canada	ca	106122707	-6:00
Riverton	Manitoba	Canada	ca	106122750	-6:00
Selkirk	Manitoba	Canada	ca	106144054	-6:00
Somerset	Manitoba	Canada	ca	106151195	-6:00
Souris	Manitoba	Canada	ca	106151456	-6:00
St. Claude	Manitoba	Canada	ca	106155762	-6:00
Ste. Anne	Manitoba	Canada	ca	106155866	-6:00
Ste. Rose du Lac	Manitoba	Canada	ca	106156291	-6:00
Steinbach	Manitoba	Canada	ca	106156102	-6:00
Stonewall	Manitoba	Canada	ca	106157355	-6:00
St-Pierre-Jolys	Manitoba	Canada	ca	106157857	-6:00
Teulon	Manitoba	Canada	ca	106163170	-6:00
Thompson	Manitoba	Canada	ca	106165406	-6:00
Treherne	Manitoba	Canada	ca	106168694	-6:00
Wawanesa	Manitoba	Canada	ca	106177197	-6:00
Winkler	Manitoba	Canada	ca	106183204	-6:00
Winnipeg	Manitoba	Canada	ca	106183235	-6:00
Winnipeg Beach	Manitoba	Canada	ca	106183236	-6:00
Alma	New Brunswick	Canada	ca	105884081	-4:00
Blacks Harbour	New Brunswick	Canada	ca	105903322	-4:00
Blackville	New Brunswick	Canada	ca	105903420	-4:00
Bouctouche	New Brunswick	Canada	ca	105906281	-4:00
Cambridge-Narrows	New Brunswick	Canada	ca	105913708	-4:00
Canterbury	New Brunswick	Canada	ca	105915119	-4:00
Cap-Pele	New Brunswick	Canada	ca	105916546	-4:00
Chipman	New Brunswick	Canada	ca	105921527	-4:00
Dieppe	New Brunswick	Canada	ca	105939219	-4:00
Dorchester	New Brunswick	Canada	ca	105941759	-4:00
Edmundston	New Brunswick	Canada	ca	106545023	-4:00
Fredericton	New Brunswick	Canada	ca	105957776	-4:00
Fredericton Junction	New Brunswick	Canada	ca	105957777	-4:00
Gagetown	New Brunswick	Canada	ca	105958945	-4:00
Grand Bay-Westfield	New Brunswick	Canada	ca	105964243	-4:00
Grand Manan	New Brunswick	Canada	ca	105964606	-4:00
Hampton	New Brunswick	Canada	ca	105970018	-4:00
Harvey	New Brunswick	Canada	ca	105971697	-4:00
Hillsborough	New Brunswick	Canada	ca	105975301	-4:00
McAdam	New Brunswick	Canada	ca	106068483	-4:00
Meductic	New Brunswick	Canada	ca	106071662	-4:00
Memramcook	New Brunswick	Canada	ca	106072046	-4:00
Minto	New Brunswick	Canada	ca	106075003	-4:00
Miramichi	New Brunswick	Canada	ca	106075081	-4:00
Moncton	New Brunswick	Canada	ca	106076211	-4:00
Nackawic	New Brunswick	Canada	ca	106085444	-4:00
New Maryland	New Brunswick	Canada	ca	106087704	-4:00
Norton	New Brunswick	Canada	ca	106091108	-4:00
Oromocto	New Brunswick	Canada	ca	106094407	-4:00
Petitcodiac	New Brunswick	Canada	ca	106101906	-4:00
Port Elgin	New Brunswick	Canada	ca	106111744	-4:00
Quispamsis	New Brunswick	Canada	ca	106115383	-4:00
Rexton	New Brunswick	Canada	ca	106121663	-4:00
Richibucto	New Brunswick	Canada	ca	106122053	-4:00
Riverside-Albert	New Brunswick	Canada	ca	106122725	-4:00
Riverview	New Brunswick	Canada	ca	106122758	-4:00
Rogersville	New Brunswick	Canada	ca	106127159	-4:00
Rothesay	New Brunswick	Canada	ca	106128033	-4:00
Sackville	New Brunswick	Canada	ca	106137063	-4:00
Saint Andrews	New Brunswick	Canada	ca	106137411	-4:00
Saint John	New Brunswick	Canada	ca	106138517	-4:00
Saint-Antoine	New Brunswick	Canada	ca	106137422	-4:00
Saint-Louis de Kent	New Brunswick	Canada	ca	106138668	-4:00
